char	now	old	corpusFreq	stdict_attested	samples
大	대	다·태	235	대:483	偉大 いだい / 医大 いだい / 一大 いちだい / 一大事 いちだいじ
会	회	괴·괄	160	회:167	委員会 いいんかい / 医師会 いしかい / 井戸端会議 いどばたかいぎ / 運動会 うんどうかい
出	출	추	147	출:195	演出 えんしゅつ / 遠出 とおで / 家出 いえで / 外出 がいしゅつ
内	내	납	128	내:217	案内 あんない / 案内書 あんないしょ / 以内 いない / 域内 いきない
作	작	자·주	85	작:116	遺作 いさく / 稲作 いなさく / 佳作 かさく / 寡作 かさく
数	수	촉	85	수:212	員数 いんずう / 過半数 かはんすう / 画数 かくすう / 回数 かいすう
白	백	배	65	백:122	明白 めいはく / 関白 かんぱく / 空白 くうはく / 潔白 けっぱく
論	론	윤	64	론:54	異論 いろん / 概論 がいろん / 議論 ぎろん / 極論 きょくろん
木	목	모	62	목:141	一木 いちぼく / 丸木 まるき / 原木 げんぼく / 古木 こぼく
土	토	두	58	토:91	黄土 おうど / 郷土 きょうど / 国土 こくど / 黒土 こくど
平	평	편	58	평:80	金平 きんぴら / 公平 こうへい / 水平 すいへい / 水平線 すいへいせん
校	교	효	49	교:82	下校 げこう / 開校 かいこう / 学校 がっこう / 休校 きゅうこう
解	해	개	48	해:84	解禁 かいきん / 解決 かいけつ / 解雇 かいこ / 解散 かいさん
報	보	부	44	보:80	一報 いっぽう / 会報 かいほう / 確報 かくほう / 官報 かんぽう
関	관	완	44	관:73	関係 かんけい / 関係者 かんけいしゃ / 関心 かんしん / 関心事 かんしんじ
税	세	탈	43	세:87	印税 いんぜい / 課税 かぜい / 間接税 かんせつぜい / 関税 かんぜい
格	격	낙	43	격:58	価格 かかく / 格安 かくやす / 格言 かくげん / 格差 かくさ
打	타	정	41	타:42	安打 あんだ / 一打 いちだ / 殴打 おうだ / 犠打 ぎだ
難	난	나	40	난:47	海難 かいなん / 救難 きゅうなん / 苦難 くなん / 困難 こんなん
害	해	할	39	해:54	加害者 かがいしゃ / 害悪 がいあく / 害虫 がいちゅう / 危害 きがい
台	대·태	이	38	대:77 태:14	縁台 えんだい / 屋台 やたい / 荷台 にだい / 気象台 きしょうだい
医	의	예	37	의:60	医院 いいん / 医科 いか / 医学 いがく / 医官 いかん
足	족	주	35	족:41	一挙手一投足 いっきょしゅいっとうそく / 一足 いっそく / 遠足 えんそく / 過不足 かふそく
殺	살	쇠	34	살:35	圧殺 あっさつ / 暗殺 あんさつ / 虐殺 ぎゃくさつ / 絞殺 こうさつ
約	약	요	33	약:53	違約 いやく / 解約 かいやく / 確約 かくやく / 規約 きやく
説	설·세	열	32	설:70 세:3	異説 いせつ / 一説 いっせつ / 演説 えんぜつ / 解説 かいせつ
肉	육	유	32	육:45	果肉 かにく / 牛肉 ぎゅうにく / 魚肉 ぎょにく / 筋肉 きんにく
告	고	곡	32	고:61	戒告 かいこく / 勧告 かんこく / 警告 けいこく / 原告 げんこく
番	번	반	31	번:22	暗証番号 あんしょうばんごう / 一番 いちばん / 一番手 いちばんて / 局番 きょくばん
