verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
3	n	3	田舎者	いなかもの	person from the countryside, countryman, countryfolk, provincial person	전사-자(1)	全史字	조선 철종 때에 만든 구리 활자. 청조체(淸朝體)의 근대적 활자로, 약 8만 자를 만들었는데 조선 시대에 주조된 활자로서는 가장 나중에 만들어진 것이다. 운현궁에 보존되어 있으며, 인쇄본으로 ≪목재집(牧齋集)≫·≪양전편고(兩銓便攷)≫ 따위가 있다.	1442770
3	n	2	極楽	ごくらく	Sukhavati (Amitabha's Pure Land), paradise, heaven on earth	극악(0)	極惡	마음씨나 행동이 더할 나위 없이 악함.	1240250
3	n	2	管長	かんちょう	superintendent priest, chief abbot	관장(1)	官匠	고려·조선 시대에, 관아에 속한 장인.	1614250
3	n	1	放題	ほうだい	(doing) as one pleases, to one's heart's content, letting (something) go unchecked, leaving uncontrolled	방제(1)	方劑	약제를 적절하게 조합하여 섞는 일.	1516770
3	n	0	個展	こてん	solo exhibition, one-man exhibition, one-woman exhibition	개전(1)	改悛	행실이나 태도의 잘못을 뉘우치고 마음을 바르게 고쳐먹음.	1264990
1	Y	1	一代	いちだい	generation, lifetime, age	일대(2)	一代	한 시대나 한 세대 전체.	1164590
3	n	3	漁労	ぎょろう	fishing, fishery	어로(1)	御路	임금이 거둥하는 길.	1233090
1	Y	1	月収	げっしゅう	monthly income	월수(2)	月收	한 달 동안의 수입.	1255700
3	n	0	分担	ぶんたん	taking on one's share (e.g. of work), dividing (work, expenses, etc.) between, apportionment, allotment	분단(1)	分段	사물을 여러 단계로 나눔. 또는 그 단계.	1503950
3	n	2	不仲	ふなか	discord, (on) bad terms (with)	부중(1)	不中	화살이나 총알 따위가 과녁에 맞지 아니함. 또는 과녁을 맞히지 못함.	1493810
1	Y	0	任意	にんい	optional, voluntary, arbitrary, random	임의(0)	任意	정해진 기준이나 원칙이 없이 내키는 대로의 생각이나 마음.	1467160
1	Y	3	性病	せいびょう	sexually transmitted disease, STD, sexually transmitted infection, STI	성병(2)	性病	주로 불결한 성행위(性行爲)에 의하여 전염되는 병. 매독, 임질, 무른궤양, 클라미디아(chlamydia) 따위가 있다.	1375490
1	Y	2	塩基	えんき	base	염기(6)	鹽基	산과 반응하여 염을 만드는 물질. 물에 녹으면 하이드록시 이온을 낸다. 암모니아수, 잿물 따위가 있다.	1178680
3	n	2	先方	せんぽう	other party, other side, ahead, in front	선방(1)	仙方	신선이 행하는 술법.	1388600
1	Y	2	拙速	せっそく	rough-and-ready, knocked-up, hasty, slipshod	졸속(0)	拙速	어설프고 빠름. 또는 그런 태도.	1385300
3	n	0	目安	めやす	criterion, standard, yardstick, reference	목안(0)	木雁	나무로 만들어 채색한 기러기. 전통 혼례 때에 산 기러기 대신 쓴다.	1535280
3	n	1	常連	じょうれん	regular customer, regular patron, regular visitor, frequenter	상련(1)	相連	서로 잇닿음. 또는 잇대어 붙임.	1356200
1	Y	2	征服	せいふく	conquest, subjugation, overcoming (a difficulty), conquering (e.g. a mountain)	정복(2)	征服	남의 나라나 이민족 따위를 정벌하여 복종시킴.	1375230
1	Y	2	即売	そくばい	selling on the spot	즉매(0)	卽賣	상품을 벌여 놓은 그 자리에서 당장 팔아 버림. 전시장이나 박람회 같은 데서 흔히 이루어진다.	1404300
1	Y	3	盛土	もりど	embankment (for road, railway, etc.), raising the ground level, fill	성토(2)	盛土	흙을 쌓음.	1764400
3	n	0	手口	てぐち	modus operandi, criminal technique, trick	수구(1)		한약을 가공하는 방법의 하나. 소나 염소의 젖을 졸여서 한약재에 발라 젖이 다 스며들 때까지 볶거나 굽는다.	1327590
3	n	3	清朝	しんちょう	Qing dynasty (of China; 1644-1912), Ch'ing dynasty, Manchu dynasty, seichōtai	청조(1)	靑鳥	반가운 사자(使者)나 편지를 이르는 말. 푸른 새가 온 것을 보고 동방삭이 서왕모의 사자라고 한 한무(漢武)의 고사에서 유래한다.	1750680
1	Y	1	要職	ようしょく	important post, important office, key position	요직(0)	要職	중요한 직책이나 직위.	1836270
